subject,sender,text,label
Document review #13,teammate@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Please keep this email for your records.,primary
Project follow up #66,manager@example.com,I added comments to the document and assigned the open action items. Please keep this email for your records.,primary
Coupon inside #17,promo@store.example,Get a special discount and free shipping on selected products this weekend. This message was generated for account 41186.,promotion
You won cash #64,winner@unknown.example,Buy cheap pills with no prescription and get a free bonus offer today. Reply is not required for this notification.,spam
New connection request #61,notifications@social.example,You were invited to join a community discussion. This message was generated for account 80345.,social
Project follow up #73,teammate@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Please keep this email for your records.,primary
Limited offer #71,promo@store.example,Buy today and save more with our festival offer. Reference id 19724.,promotion
OTP required #96,verify@bank-check.example,Unusual activity detected. Update your PIN and password now to restore access. Please keep this email for your records.,phishing
New connection request #74,alerts@network.example,Someone commented on your update in the project group. Reference id 98317.,social
New connection request #52,alerts@network.example,You have new followers and reactions on your recent post. Reply is not required for this notification.,social
OTP required #21,security-alert@paypa1.example,Final notice: account suspended. Confirm OTP and login credential immediately. This message was generated for account 21401.,phishing
You won cash #14,winner@unknown.example,Free gift waiting for you. Click now before the offer expires!!! Sent from automated mail service.,spam
Meeting notes #83,teammate@example.com,I added comments to the document and assigned the open action items. Please keep this email for your records.,primary
Group invite #72,updates@community.example,You were invited to join a community discussion. Sent from automated mail service.,social
Meeting notes #24,friend@example.com,Can we move our meeting to tomorrow afternoon after the planning call? Reply is not required for this notification.,primary
Urgent security alert #117,support@secure-login.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reply is not required for this notification.,phishing
Verify password now #51,verify@bank-check.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reply is not required for this notification.,phishing
Cashback deal #31,deals@shop.example,Get a special discount and free shipping on selected products this weekend. Reference id 30006.,promotion
Password changed #12,billing@service.example,Your monthly invoice is ready and can be viewed in your account dashboard. This message was generated for account 43586.,updates
Verify password now #19,support@secure-login.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. This message was generated for account 81611.,phishing
Profile activity #47,updates@community.example,You were invited to join a community discussion. Please keep this email for your records.,social
Comment notification #51,notifications@social.example,Someone commented on your update in the project group. Sent from automated mail service.,social
OTP required #43,verify@bank-check.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. Reference id 40689.,phishing
Urgent security alert #33,verify@bank-check.example,URGENT: your account will expire. Verify your password at http://secure-login.example/verify. Reference id 73968.,phishing
Verify password now #110,verify@bank-check.example,Your bank login is locked. Visit www.account-verify.example and confirm details. This message was generated for account 18450.,phishing
Coupon inside #74,offers@market.example,Get a special discount and free shipping on selected products this weekend. Reply is not required for this notification.,promotion
Coupon inside #42,offers@market.example,Buy today and save more with our festival offer. Reference id 28776.,promotion
Urgent security alert #59,support@secure-login.example,Final notice: account suspended. Confirm OTP and login credential immediately. Reply is not required for this notification.,phishing
Free gift now #22,winner@unknown.example,You have been selected for a lottery reward. Act now to receive cash. Reply is not required for this notification.,spam
Project follow up #72,friend@example.com,Thanks for the update. Let us discuss the remaining blockers in standup. Please keep this email for your records.,primary
